Group,Accuracy,Precision,Recall,F1-Score
Overall,0.72,0.7248600857346987,0.72,0.7218397755990276
female_middle,0.7333333333333333,0.7454901960784314,0.7333333333333333,0.7377517868745939
female_old,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
female_young,0.7872340425531915,0.7788523533204383,0.7872340425531915,0.7815112248706874
male_middle,0.7524752475247525,0.7651271318501457,0.7524752475247525,0.7534097390809771
male_old,0.7,0.8652777777777777,0.7,0.7474074074074074
male_young,0.6349206349206349,0.6723057644110276,0.6349206349206349,0.6474691358024691
Male,0.7061855670103093,0.7127395211673324,0.7061855670103093,0.7073363769183975
Female,0.7452830188679245,0.7452830188679245,0.7452830188679245,0.7452830188679245
Young,0.7,0.7105328495034378,0.7,0.7026484840883437
Middle,0.7465753424657534,0.7578957680718933,0.7465753424657534,0.7492488992561926
Old,0.6818181818181818,0.7770808736717828,0.6818181818181818,0.7127450980392156
