Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1
Best Model,0.7266666666666667,0.7662208683307701,0.7266666666666668,0.7331269162492183,0.7266666666666667,0.7266666666666667,0.7266666666666666
Main Model,0.7266666666666667,0.7347238694374258,0.7266666666666667,0.7280195013716111,0.7266666666666667,0.7266666666666667,0.7266666666666666
Variant 1,0.68,0.6729567218703737,0.6799999999999999,0.6619367604871136,0.68,0.68,0.68
Variant 2,0.7266666666666667,0.7347238694374258,0.7266666666666667,0.7280195013716111,0.7266666666666667,0.7266666666666667,0.7266666666666666
